Timestamp,Count,IR_raw,Red_raw,BPM,SpO2
2026-07-07T14:08:51.265307,209415,1157743,1157812,142.9,85.0
2026-07-07T14:08:51.265604,209416,1157738,1157812,142.9,85.0
2026-07-07T14:08:51.265829,209417,1157741,1157804,142.9,85.0
2026-07-07T14:08:51.266044,209418,1157727,1157801,142.9,85.0
2026-07-07T14:08:51.266253,209419,1157728,1157805,142.9,85.0
2026-07-07T14:08:51.266929,209420,1157732,1157804,142.9,84.8
2026-07-07T14:08:51.267166,209421,1157736,1157799,142.9,84.8
2026-07-07T14:08:51.327867,209422,1157732,1157792,142.9,84.8
2026-07-07T14:08:51.328186,209423,1157730,1157801,142.9,84.8
2026-07-07T14:08:51.336801,209424,1157727,1157797,142.9,84.8
2026-07-07T14:08:51.337744,209425,1157729,1157809,187.5,84.3
2026-07-07T14:08:51.338020,209426,1157735,1157803,187.5,84.3
2026-07-07T14:08:51.338275,209427,1157739,1157801,187.5,84.3
2026-07-07T14:08:51.338526,209428,1157740,1157798,187.5,84.3
2026-07-07T14:08:51.393211,209429,1157737,1157806,187.5,84.3
2026-07-07T14:08:51.393940,209430,1157735,1157806,187.5,84.1
2026-07-07T14:08:51.394169,209431,1157738,1157800,187.5,84.1
2026-07-07T14:08:51.394374,209432,1157739,1157795,187.5,84.1
2026-07-07T14:08:51.394623,209433,1157738,1157798,187.5,84.1
2026-07-07T14:08:51.394846,209434,1157744,1157791,187.5,84.1
2026-07-07T14:08:51.449711,209435,1157747,1157801,187.5,85.0
2026-07-07T14:08:51.450076,209436,1157743,1157792,187.5,85.0
2026-07-07T14:08:51.450305,209437,1157742,1157786,187.5,85.0
2026-07-07T14:08:51.450515,209438,1157751,1157797,187.5,85.0
2026-07-07T14:08:51.450758,209439,1157744,1157782,187.5,85.0
2026-07-07T14:08:51.451394,209440,1157745,1157787,120.0,85.0
2026-07-07T14:08:51.505340,209441,1157752,1157785,120.0,85.0
2026-07-07T14:08:51.505700,209442,1157750,1157783,120.0,85.0
2026-07-07T14:08:51.505991,209443,1157756,1157768,120.0,85.0
2026-07-07T14:08:51.506437,209444,1157756,1157761,120.0,85.0
2026-07-07T14:08:51.508294,209445,1157749,1157754,146.3,85.0
